Cluster,X,Y,Day
2,382530.0,6675986.0,5.0
2,382573.0,6675842.0,5.0
2,382525.0,6675839.0,5.0
2,382402.0,6675914.0,5.0
2,382169.0,6675919.0,5.0
2,382061.0,6675910.0,5.0
2,381898.0,6675883.0,5.0
2,380067.0,6676482.0,5.0
2,376070.0,6676456.0,5.0
2,374605.0,6676127.0,5.0
2,361748.0,6682692.0,5.0
2,360823.0,6683566.0,5.0
2,358422.0,6685545.0,5.0
2,355827.0,6686776.0,5.0
2,353487.0,6687108.0,5.0
2,352927.0,6687018.0,5.0
2,350564.0,6687815.0,5.0
2,350469.0,6687881.0,5.0
2,350448.0,6687870.0,5.0
2,349069.0,6688266.0,5.0
2,347651.0,6688082.0,5.0
2,319901.0,6697922.0,5.0
2,272971.0,6706211.0,5.0
0,259442.0,6708301.0,5.0
0,258373.0,6708732.0,5.0
0,247525.0,6707405.0,5.0
0,247109.0,6707468.0,5.0
0,246915.0,6707494.0,5.0
0,241526.0,6710691.0,5.0
0,241497.0,6710738.0,5.0
2,353353.0,6689804.0,5.0
2,353055.0,6690392.0,5.0
2,352033.0,6695767.0,5.0
2,353069.0,6698881.0,5.0
2,353317.0,6700263.0,5.0
2,353510.0,6701224.0,5.0
2,353229.0,6702166.0,5.0
2,353229.0,6702166.0,5.0
2,350634.0,6709368.0,5.0
2,350290.0,6710060.0,5.0
2,348247.0,6714500.0,5.0
2,347986.0,6714770.0,5.0
2,329259.0,6727237.0,5.0
2,322643.0,6737319.0,5.0
2,320967.0,6739412.0,5.0
2,320236.0,6740361.0,5.0
2,314538.0,6747889.0,5.0
2,310406.0,6752361.0,5.0
2,307869.0,6755745.0,5.0
2,297753.0,6765578.0,5.0
2,296357.0,6765814.0,5.0
2,293040.0,6767279.0,5.0
0,283059.0,6774436.0,5.0
0,278534.0,6779323.0,5.0
0,275885.0,6782370.0,5.0
0,275220.0,6783050.0,5.0
0,267464.0,6789359.0,5.0
0,251209.0,6797595.0,5.0
0,247773.0,6799941.0,5.0
0,247254.0,6800154.0,5.0
0,243707.0,6802708.0,5.0
0,238513.0,6807289.0,5.0
0,233407.0,6812098.0,5.0
0,228615.0,6818871.0,5.0
0,228594.0,6818900.0,5.0
0,228530.0,6818993.0,5.0
0,228423.0,6819147.0,5.0
0,217642.0,6831157.0,5.0
0,214224.0,6834414.0,5.0
0,210938.0,6838562.0,5.0
0,209659.0,6840031.0,5.0
2,383608.0,6679674.0,5.0
2,383330.0,6680362.0,5.0
2,382991.0,6681161.0,5.0
2,382972.0,6681205.0,5.0
2,382652.0,6681925.0,5.0
2,382448.0,6682823.0,5.0
2,382164.0,6684211.0,5.0
2,380990.0,6687186.0,5.0
2,380900.0,6687943.0,5.0
2,380815.0,6688148.0,5.0
2,380766.0,6688271.0,5.0
2,380380.0,6688964.0,5.0
2,380315.0,6689073.0,5.0
2,379812.0,6689936.0,5.0
2,379583.0,6690843.0,5.0
2,379149.0,6692304.0,5.0
2,379122.0,6692683.0,5.0
2,379568.0,6696326.0,5.0
2,381786.0,6706457.0,5.0
2,379374.0,6719684.0,5.0
2,376405.0,6733097.0,5.0
2,376073.0,6734463.0,5.0
2,373774.0,6743525.0,5.0
2,372004.0,6747020.0,5.0
2,368140.0,6752040.0,5.0
2,368069.0,6752211.0,5.0
2,363787.0,6760744.0,5.0
2,362292.0,6765155.0,5.0
2,359661.0,6768286.0,5.0
2,349296.0,6775202.0,5.0
2,346333.0,6777931.0,5.0
2,342106.0,6781889.0,5.0
2,341400.0,6782099.0,5.0
2,336112.0,6784920.0,5.0
2,330420.0,6789281.0,5.0
2,330365.0,6794497.0,5.0
2,328345.0,6806177.0,5.0
2,328417.0,6806408.0,5.0
2,327340.0,6812683.0,5.0
2,327318.0,6813448.0,5.0
2,327114.0,6813780.0,5.0
2,327351.0,6816350.0,5.0
2,327364.0,6816386.0,5.0
2,327684.0,6817474.0,5.0
2,327463.0,6818581.0,5.0
2,327198.0,6818491.0,5.0
2,325290.0,6818811.0,5.0
2,321273.0,6817463.0,5.0
2,318891.0,6819594.0,5.0
2,317483.0,6828333.0,5.0
2,316518.0,6829869.0,5.0
0,297984.0,6840728.0,5.0
0,296830.0,6842809.0,5.0
0,294041.0,6851955.0,5.0
0,293296.0,6852492.0,5.0
0,293096.0,6852635.0,5.0
0,285905.0,6863669.0,5.0
0,289796.0,6874911.0,5.0
0,292403.0,6892808.0,5.0
0,282664.0,6927594.0,5.0
0,279951.0,6938147.0,5.0
0,259170.0,6971683.0,5.0
0,235730.0,6999165.0,5.0
0,234879.0,6999610.0,5.0
0,233224.0,7001978.0,5.0
2,391723.0,6679705.0,5.0
2,392030.0,6679930.0,5.0
2,393050.0,6681379.0,5.0
2,393132.0,6681582.0,5.0
2,393734.0,6682696.0,5.0
2,394587.0,6684676.0,5.0
2,394885.0,6686702.0,5.0
2,396118.0,6693591.0,5.0
2,396868.0,6702117.0,5.0
2,397752.0,6706042.0,5.0
2,399924.0,6712951.0,5.0
2,400008.0,6713133.0,5.0
2,404408.0,6719833.0,5.0
2,407626.0,6724772.0,5.0
2,408656.0,6726227.0,5.0
2,409944.0,6727333.0,5.0
2,411226.0,6728288.0,5.0
2,416413.0,6737563.0,5.0
2,416811.0,6738324.0,5.0
2,418004.0,6741128.0,5.0
2,418986.0,6742699.0,5.0
2,419014.0,6742759.0,5.0
2,421672.0,6747519.0,5.0
2,422620.0,6749363.0,5.0
2,422739.0,6749652.0,5.0
2,431056.0,6760534.0,5.0
2,431313.0,6761126.0,5.0
2,436593.0,6765251.0,5.0
2,441308.0,6774673.0,5.0
2,441617.0,6775279.0,5.0
2,442009.0,6775928.0,5.0
2,450067.0,6794241.0,5.0
2,449298.0,6797087.0,5.0
2,449360.0,6806336.0,5.0
2,448178.0,6809905.0,5.0
2,446774.0,6811786.0,5.0
2,446474.0,6820455.0,5.0
2,447089.0,6821728.0,5.0
2,447114.0,6821832.0,5.0
2,447417.0,6830817.0,5.0
2,448449.0,6834948.0,5.0
2,450215.0,6841474.0,5.0
2,450878.0,6842776.0,5.0
2,452538.0,6857056.0,5.0
2,450152.0,6877216.0,5.0
2,449803.0,6882712.0,5.0
2,447009.0,6885871.0,5.0
2,442397.0,6898837.0,5.0
2,442608.0,6900849.0,5.0
2,441556.0,6902060.0,5.0
2,441520.0,6902083.0,5.0
2,441073.0,6901735.0,5.0
2,437584.0,6901552.0,5.0
2,437115.0,6901549.0,5.0
2,436160.0,6902654.0,5.0
2,434159.0,6904526.0,5.0
2,433629.0,6907144.0,5.0
2,433276.0,6908763.0,5.0
2,432973.0,6912095.0,5.0
2,432849.0,6913392.0,5.0
2,432842.0,6913460.0,5.0
2,432924.0,6917049.0,5.0
2,433134.0,6918007.0,5.0
2,433118.0,6918286.0,5.0
2,433001.0,6918890.0,5.0
2,431853.0,6929278.0,5.0
2,432009.0,6935839.0,5.0
2,434064.0,6947110.0,5.0
2,437221.0,6957122.0,5.0
2,440382.0,6985385.0,5.0
2,439897.0,6990519.0,5.0
2,440460.0,6991284.0,5.0
2,436953.0,7004921.0,5.0
2,434390.0,7008312.0,5.0
2,430281.0,7023901.0,5.0
2,429678.0,7028498.0,5.0
2,433452.0,7040620.0,5.0
2,437359.0,7044956.0,5.0
2,447801.0,7069319.0,5.0
2,447997.0,7069778.0,5.0
2,439399.0,7094766.0,5.0
2,439107.0,7097498.0,5.0
2,441405.0,7105340.0,5.0
2,441578.0,7112250.0,5.0
2,443205.0,7121726.0,5.0
2,445882.0,7136104.0,5.0
2,436778.0,7160916.0,5.0
2,436666.0,7162366.0,5.0
2,436481.0,7162941.0,5.0
2,431832.0,7179559.0,5.0
2,429052.0,7190353.0,5.0
2,429105.0,7191525.0,5.0
2,430806.0,7200750.0,5.0
2,430806.0,7200750.0,5.0
0,430615.0,7203456.0,5.0
0,429988.0,7204708.0,5.0
0,429520.0,7208772.0,5.0
0,429545.0,7208951.0,5.0
0,429664.0,7212272.0,5.0
0,428635.0,7213401.0,5.0
0,428165.0,7213855.0,5.0
0,426433.0,7219946.0,5.0
0,424581.0,7236163.0,5.0
0,423592.0,7239584.0,5.0
0,424424.0,7246302.0,5.0
0,425104.0,7256038.0,5.0
0,420908.0,7266241.0,5.0
0,414066.0,7279728.0,5.0
0,413402.0,7280458.0,5.0
0,411591.0,7283182.0,5.0
0,402991.0,7285289.0,5.0
